sentence_id,paragraph_id,sentence,control,relation_types
55,3,"As a child, his hero was Batman, and as a teenager his interests shifted towards music.",CONTROL,NO-RELATION
55,5,Miguel played the drums on Keith Moon's Two Sides of the Moon.,,NO-RELATION
55,6,"Band mate Billy Mumy (""Will Robinson"" on the T.V. classic Lost In Space) cast Miguel as a drummer in his first television role, in the series Sunshine.",,NO-RELATION
56,1,"Among the many television shows in which Miguel has made guest appearances are: Miami Vice, CHiPs, Will & Grace, Superman, Tales from the Crypt and Twin Peaks.",,NO-RELATION
56,2,He also starred in the mini series The Stand.,,NO-RELATION
56,3,Miguel played the role of Dr. Garret Macy in NBC's drama Crossing Jordan.,,EMPLOYER
56,4,"In 1999, at the 41st Grammy Awards, Miguel was nominated for ""Best Spoken Word Album for Children"" in Disney's The Lion King II, ""Simba's Pride Read-Along"".",,NO-RELATION
56,6,"In 2003, Miguel made his New York stage debut in the Off-Broadway production of The Exonerated.",,VISITED
57,2,His cousin is actor George Clooney.,CONTROL,NO-RELATION
57,3,His brother Gabriel Ferrer is married to singer Debby Boone.,,NO-RELATION
57,4,Miguel was close friends with actress Dominique Dunne and in 1982 served as a pallbearer in her funeral.,,NO-RELATION
58,1,"William Hindman (April 1, 1743 – January 19, 1822) was an American lawyer and statesman from Talbot County, Maryland.",,NATIONALITY
58,2,"He represented Maryland in the Continental Congress, and in the federal Congress as both the Representative and a U.S.",,JOB_TITLE
59,2,"Senator James Lloyd resigned, and Hindman was named to finish his term.",,NO-RELATION
59,3,He served in the United States Senate from December of 1800 until November of 1801.,,NO-RELATION
59,4,"In the Senate, he was aligned with the Federalists.",,POLITICAL_AFFILIATION
60,1,"William was born in Dorchester County, Maryland, the second son of Jacob Hindman (1713-1766) and Mary Trippe Hindman (died 1782).",,NO-RELATION
60,3,"William studied law at the Inns of Court in London, returning to Maryland in 1765.",,EDUCATION;VISITED
61,1,"Hindman died in Baltimore, Maryland and is buried in St. Paul’s Burial Ground there.",,NO-RELATION
62,2,"In 1792 voters returned him the state Senate, but later that year he was appointed to the United States House of Representatives after the resignation of Joshua Seney.",,NO-RELATION
63,1,"From 1775 and 1777, Hindman served in Maryland’s revolutionary government, as the state’s Treasurer for the Eastern Shore.",,VISITED
64,1,"Clive Jay Davis (born April 4, 1934) is the founder of Arista Records, and member of the Rock and Roll Hall of Fame as a nonperformer.",,FOUNDER
65,1,"He was a working class Jewish boy who grew up in Brooklyn, New York.",CONTROL,NO-RELATION
65,2,He graduated from New York University`s College of Arts and Sciences in 1953 and received a scholarship to Harvard Law School.,,EDUCATION
65,4,He was then hired by the legal department of CBS subsidiary Columbia Records.,,EMPLOYER
66,1,"In 1974, he founded Arista Records, naming it after his secondary school honor society.",,FOUNDER
67,1,"Erasmus Darwin (December 12, 1731 – April 18, 1802) trained as a physician and wrote extensively on medicine and botany, as well as poetry.",,JOB_TITLE
67,2,"He lived in Lichfield and Derby, England.",CONTROL,VISITED
67,3,He was one of the founder members of the Lunar Society.,CONTROL,FOUNDER
67,4,"He was a member of the Darwin-Wedgwood family, most famously including his grandson, Charles Darwin.",,NO-RELATION
68,1,"He was born near at Elston Hall near Nottingham, and educated at Chesterfield School then later at St. John's College, Cambridge.",,EDUCATION
68,2,He obtained his degree at Edinburgh Medical School.,,EDUCATION
68,4,He practised medicine in Lichfield in Staffordshire for twenty years; George III invited him to be royal physician but he declined.,,VISITED
68,5,"In 1781 he moved to Derby, where he died suddenly on the 18th of April 1802.",,VISITED
69,1,"His most important scientific work is his Zoönomia (1794–1796), which contains a system of pathology, and a treatise on ""generation,"" in which he, in the words of his famous grandson, Charles Robert Darwin, anticipated the views of Jean-Baptiste Lamarck, who in turn is regarded to have foreshadowed the theory of evolution.",,NO-RELATION
70,1,"Eunice Mary Kennedy Shriver (born July 10, 1921 in Brookline, Massachusetts) is a member of the Kennedy family.",,NO-RELATION
70,2,"Her father was Joseph P. Kennedy, Sr., and her mother was Rose Kennedy.",,NO-RELATION
71,1,"On May 23, 1953, she married Robert Sargent Shriver, Jr., who was U.S. ambassador to France from 1968 to 1970, and was Democratic vice-presidential candidate in 1972.",,NO-RELATION
72,1,"She actively campaigned for her brother John F. Kennedy, and supported Arnold Schwarzenegger's successful bid for governor of California in 2003.",,NO-RELATION
73,1,"King married Coretta Scott on June 18, 1953.",,WIFE
73,2,"The wedding ceremony took place in Scott's parents' house in Marion, Alabama, and was performed by King's father.",CONTROL,VISITED
74,1,"In 1953, King became the pastor of the Dexter Avenue Baptist Church in Montgomery, Alabama.",,VISITED
75,1,"The Reverend Martin Luther King, Jr. Ph.D., Boston University (January 15, 1929 – April 4, 1968) was an American Nobel Laureate, Baptist minister, and African American civil rights activist.",,AWARD;JOB_TITLE;NATIONALITY
75,4,He also was awarded the Presidential Medal of Freedom.,,AWARD
76,1,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.",,FOUNDER
76,3,"The organization's nonviolent principles were criticized by the younger, more radical blacks and challenged by the Student Nonviolent Coordinating Committee (SNCC) then headed by James Foreman.",,NO-RELATION
77,1,"King was born in Atlanta, Georgia to the Rev. Martin Luther King, Sr. and Alberta Williams King.",,NO-RELATION
77,4,He graduated from Morehouse College with a Bachelor of Arts degree in Sociology in 1948.,,EDUCATION
77,5,"His application to Yale Divinity School was rejected, and he graduated from Crozer Theological Seminary in Chester, Pennsylvania [1] with a Bachelor of Divinity in 1951.",,EDUCATION
77,6,He received his Ph.D. in Systematic theology from Boston University in 1955.,CONTROL,EDUCATION
78,1,"Gail Davis (born October 5, 1925; died March 15, 1997) was an American actress.",,NATIONALITY
79,1,"She and her husband moved to Hollywood, California to pursue a career in motion pictures and in 1947, as ""Gail Davis,"" she made her motion picture debut in a comedy film short.",,VISITED
79,2,She then appeared in minor roles in another four films until landing a supporting role under star Roy Rogers in a 1948 Western film called The Far Frontier.,,NO-RELATION
79,3,"Between then and 1953, Davis appeared in more than three dozen films, of which all but three were in the Western genre and that included fourteen films with the singing cowboy star, Gene Autry.",,NO-RELATION
79,4,"In 1950, she began to guest star in television Westerns, notably in the ""Lone Ranger"" and ""Cisco Kid"" series plus more than a dozen appearances on the ""Gene Autry Show"".",,NO-RELATION
80,1,"Gail Davis passed away from cancer in 1997 in Los Angeles, California and was interred there in the Forest Lawn - Hollywood Hills Cemetery.",,NO-RELATION
81,1,"The daughter of a small town medical doctor, she was born Betty Jeanne Grayson in a hospital at Little Rock, Arkansas.",CONTROL,NO-RELATION
81,2,"Her family lived in McGehee, Arkansas where she was raised until they moved to Little Rock.",,VISITED
81,3,"She had been singing and dancing since childhood and after graduating from high scool in Little Rock, she went to study drama at girl's college in Bryn Mawr, Pennsylvania before completing her education at the University of Texas in Austin.",,EDUCATION;VISITED
82,1,"Between 1954 and 1956, Gail Davis starred as the Western sharpshooter, Annie Oakley in the Annie Oakley television series on the ABC network.",,EMPLOYER
83,1,"Elvis Aron Presley (January 8, 1935 – August 16, 1977), also known as The King of Rock and Roll (sometimes shortened to The King) was an American singer and actor.",,JOB_TITLE;NATIONALITY
84,1,"The movies Jailhouse Rock (1957), King Creole (1958), and Flaming Star (1960) are widely regarded as his best among film critics.",,NO-RELATION
84,2,"Among fans, Blue Hawaii (1961) and Viva Las Vegas (1964) are also highly praised.",,NO-RELATION
85,1,"Elvis Aron Presley was born in a two-room house in East Tupelo, Mississippi to Vernon Elvis Presley and Gladys Love Smith.",,NO-RELATION
86,1,"Elvis Presley was raised both in East Tupelo (which merged with Tupelo in 1948) and later in Memphis, Tennessee, where his family moved when he was 13.",CONTROL,VISITED
86,2,Elvis had a twin brother (Jesse Garon Presley) who died at birth.,,NO-RELATION
87,1,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",,NO-RELATION
87,3,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",,NO-RELATION
88,1,"Niels Fabian Helge von Koch (January 25, 1870 - March 11, 1924) was a Swedish mathematician, who gave his name to the famous fractal known as the Koch curve, which was one of the earliest fractal curves to have been described.",,JOB_TITLE;NATIONALITY
89,2,"His grandfather, Nils Samuel von Koch (1801-1881), was the Attorney-General (""Justitiekansler"") of Sweden.",,VISITED
90,1,"John Quincy Adams (July 11, 1767 – February 23, 1848) was the sixth (1825-1829) President of the United States.",,JOB_TITLE
90,2,"The son of President John Adams and First Lady Abigail Smith, he was the only son of a former President to become President himself until George W. Bush took office in 2001.",,NO-RELATION
91,1,"He was Secretary of State in the Cabinet of President James Monroe from 1817 to 1825, a tenure during which he was instrumental in the acquisition of Florida and in keeping the United States from becoming dependent on England.",,JOB_TITLE
92,1,Adams's son Charles Francis also pursued a career in politics.,CONTROL,NO-RELATION
93,3,"While serving as Secretary of State under President James Monroe, Adams negotiated the Adams-Onís Treaty with Spain and devised the Monroe Doctrine, both of which were of long lasting importance.",,JOB_TITLE
94,1,"Adams was born in Braintree, Massachusetts in a part of town which eventually became the separate town of Quincy.",,NO-RELATION
94,3,He acquired his early education in Europe at venerable institutions such as the University of Leiden while accompanying his father while the elder Adams was serving as an American envoy to France and later the Netherlands during the Revolutionary War.,,EDUCATION;VISITED
94,4,He graduated from Harvard University in 1787 and was elected to Phi Beta Kappa.,,EDUCATION
94,5,He studied law after which he was admitted to the bar and commenced practice in Boston.,,VISITED
95,1,"Adams was elected to the U.S. House of Representatives in 1830, one of only two U.S. Presidents to serve in Congress after having been President.",,NO-RELATION
96,1,"Although Adams lost in both the popular and electoral votes in the Presidential election of 1824, none of the candidates were able to secure a majority of the electoral vote, thereby putting the outcome in the hands of the House of Representatives, which to the surprise of many elected Adams over rival Andrew Jackson.",,NO-RELATION
96,2,"Some say this was because of a bargain he struck with Henry Clay, which put Clay into office as his Secretary of State once Adams won.",,NO-RELATION
96,4,"During this time he worked on developing a federal system of roads, canals, bridges, lighthouses, and universities until Jackson, who defeated Adams in the latter's quest for re-election, was sworn in to replace him.",,NO-RELATION
97,1,"President George Washington appointed him Minister to the Netherlands in 1794, Minister to Portugal in 1796 and Minister to Prussia in 1797.",,VISITED
97,2,"While serving abroad, he met Louisa Catherine Johnson, the daughter of an American merchant living abroad.",,WIFE
98,1,Adams received one electoral vote in the presidential election of 1820.,CONTROL,NO-RELATION
99,1,"Rather than retire, Adams would go on to win election as a Democratic-Republican to the House of Representatives beginning with the 22nd Congress, serving from March 4, 1831, until his death.",,POLITICAL_AFFILIATION
100,1,"Aldous Leonard Huxley (July 26, 1894 – November 22, 1963) was a British writer who emigrated to the United States.",,VISITED;JOB_TITLE;NATIONALITY
100,2,He was a member of the famous Huxley family who produced a number of brilliant scientific minds.,,NO-RELATION
101,2,"He wrote great novels on dehumanising aspects of scientific progress, most famously Brave New World, and on pacifist themes (e.g. Eyeless in Gaza).",,NO-RELATION
101,4,Huxley was strongly influenced by F. Matthias Alexander and included him as a character in Eyeless in Gaza.,,NO-RELATION
102,1,"Huxley was born in Godalming, Surrey, England.",,NO-RELATION
102,2,"He was the son of the writer Leonard Huxley by his first wife, Julia Arnold; and grandson of Thomas Henry Huxley, one of the most important naturalists of the 19th Century, a man known as ""Darwin's Bulldog.""",,NO-RELATION
102,3,His brother Julian Huxley was a biologist also noted for his evolutionary theories.,,NO-RELATION
103,1,"John Wells (November 17, 1936 - January 11, 1998) was a British actor, writer and satirist.",,JOB_TITLE
104,1,"Wells began his television career as a writer on That Was The Week That Was, the 1960s weekly satire show that launched the careers of David Frost and Millicent Martin, among others.",,NO-RELATION
104,2,"Besides making cameo appearances in films such as Casino Royale (1967), television dramas like Casanova (1987), and comedy shows like Yes, Minister, he also wrote television scripts and screenplays, notably Princess Caraboo (1994).",,NO-RELATION
105,1,In 1997 he appeared in the BBC situation comedy Chalk.,,NO-RELATION
106,1,Bartholomew J. Simpson (voiced by Nancy Cartwright) is a fictional character featured in the animated television series The Simpsons.,,NO-RELATION
106,2,He is the 10-year-old son of Homer and Marge Simpson and older brother of Lisa and Maggie.,,NO-RELATION
107,1,"Roy Stanley Geiger (January 25, 1885 – January 23, 1947) was a United States Marine Corps general who, during World War II, became the first Marine to lead an army.",,JOB_TITLE
108,1,"Geiger was born in Middleburg, Florida.",CONTROL,NO-RELATION
108,2,"He attended Florida State Normal and Industrial College and received an LLB from Stetson University, after which he enlisted in the Marine Corps.",,AWARD;EDUCATION
108,3,He was commissioned a Second Lieutenant on 5 February 1909.,,JOB_TITLE
109,1,"Following attendance at the Marine Officers' School at Port Royal, South Carolina, he served as a member of the Marine detachments aboard Wisconsin (BB-9) and Delaware (BB-28).",,VISITED
110,1,For his part in this action he was awarded the Distinguished Service Medal.,,AWARD
111,1,"Geiger commanded the III Amphibious Corps in the battle of Okinawa, where he assumed command of the U.S. Tenth Army upon the combat death of Lt. General Simon Bolivar Buckner, Commanding General of the Tenth Army.",,NO-RELATION
111,2,Geiger led the Tenth Army until relieved by General Joseph Stilwell.,,NO-RELATION
112,1,"Culbert Levy Olson (November 7, 1876 - April 13, 1962) was a U.S. politician.",,JOB_TITLE;NATIONALITY
113,1,"He was born in Fillmore, Utah to Daniel Olson and his wife Delilah King.",,NO-RELATION
114,1,"He served as the Governor of California from January 2, 1939 until January 4, 1943, and was the only Democrat elected to that office between 1898 and 1954.",,POLITICAL_AFFILIATION;JOB_TITLE
114,2,In his 1942 bid for re-election he was defeated by state Attorney General Earl Warren.,,NO-RELATION
115,1,He later became president of the United Secularists of America.,,NO-RELATION
116,1,"He died in Los Angeles at age 85, and was buried in Forest Lawn Memorial Park Cemetery in suburban Glendale.",,NO-RELATION
117,1,"Prescott Sheldon Bush (May 15, 1895, Columbus, Ohio – October 8, 1972, New York City) was a U.S.",,JOB_TITLE
117,2,Senator from Connecticut and a Wall Street executive banker with Brown Brothers Harriman.,,EMPLOYER
117,3,"His son, George H. W. Bush, and grandson George W. Bush would both later become U.S. presidents.",,NO-RELATION
117,4,His father was Samuel Prescott Bush and his mother was Flora Sheldon.,CONTROL,NO-RELATION
118,1,"He married Dorothy Walker, George Herbert Walker's daughter, on August 6, 1921, and together they had five children, including George H. W. Bush (named after George Herbert Walker), Prescott Bush, Jr., Jonathan Bush, William Bush, and Nancy Bush.",,WIFE
118,2,"Among those attending the Kennebunkport, Maine wedding ceremony were Isabel Stillman Rockefeller (daughter of Percy Rockefeller), Hope Lincoln, Mary Keck, Elizabeth Trotter, Martha Pittman, Ruth Lionberger, Nancy Walker, George Herbert Walker, Knight Wooley, Frank Shephard, John Shepley, Richard Bentley, Henry Isham, William Potter Wear, and Henry Fenimore Cooper.",,VISITED
119,1,"His father-in-law, George Herbert Walker, and Walker's partner, Averell Harriman, brought him on as an officer in their investment banking firm, W. A. Harriman and Company in 1926.",,EMPLOYER
119,2,"When it merged with Brown Brothers in 1931, he became a partner in the new firm of Brown Brothers Harriman.",,EMPLOYER
119,3,"Bush called it ""my good fortune"" to work with close friends, including Yale classmates (and members of the Skull and Bones) E. Roland Harriman, Knight Woolley, and Ellery James, as well as Robert A. Lovett and Thomas McCance.",,NO-RELATION
120,1,"He maintained homes in Long Island, New York and Greenwich, Connecticut; the family compound at Kennebunkport, Maine; a 10,000 acre (40 km²) plantation in South Carolina; and an island retreat in Florida.",,VISITED
121,1,"After graduation, he served as a field artillery captain with the American Expeditionary Forces (1917-1919) during World War I.",,NO-RELATION
121,2,He received training in intelligence at Verdun and was briefly assigned to a staff of French officers.,,VISITED
121,3,"Alternating between intelligence and artillery, Bush came under fire in the Meuse-Argonne offensive.",,NO-RELATION
122,1,"The Bushes moved to Columbus, Ohio, in 1923, where Bush worked for the Hupp Products Company, where his business efforts generally failed.",,VISITED
122,2,"He left in November 1923 to become president of sales for Stedman Products of South Braintree, Massachusetts.",,VISITED
122,4,"In 1925, he joined the United States Rubber Company (based in New York City) as manager of the foreign division, and moved to Greenwich, Connecticut.",,EMPLOYER;VISITED
123,1,"In 1952 he was elected to the U.S. Senate (Republican, Connecticut), defeating Abraham Ribicoff for the vacancy caused by the death of James O'Brien McMahon.",,NO-RELATION
123,2,"He served until January 1963, and was a staunch supporter of President Dwight D. Eisenhower.",,NO-RELATION
124,1,"As a managing partner of Brown Brothers Harriman, he sat on several corporate boards, including the following:",CONTROL,EMPLOYER
125,1,"Bush was born in Columbus, Ohio to Flora Sheldon and Samuel Prescott Bush, a steel company president and later a U.S. government official in charge of coordination and assistance to major weapons contractors during World War I.",,NO-RELATION
126,1,"After attending the Douglas School in Columbus and St. George's School in Newport, Rhode Island as well as the famous Stonyhurst College in England (where he designed the boys' golf course still in use today) from 1908 to 1913, Bush entered Yale University.",,EDUCATION;VISITED
126,2,"There, he played varsity golf, football, and baseball, and was president of the Yale Glee Club.",,NO-RELATION
126,5,"On May 18, 1916 he was ""tapped"" to join the Skull and Bones society at Yale.",,NO-RELATION
